Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Minecraft,Series,2011,Sandbox,Mojang  ,Mojang  ,,,,,,,
2,Saints Row,Series,2006,Sandbox,THQ  ,Volition  ,,,,,,,
3,Dragon Quest Builders,Series,2016,Sandbox,Square Enix  ,Square Enix  ,,,,,,,
4,Minecraft,NS,2018,Sandbox,Mojang  ,4J Studios  ,9.2,,0.69,0.56,0.52,0.12,1.89
5,Dragon Quest Builders,All,2016,Sandbox,Nintendo  ,Square Enix  ,,,,,,,
6,Dragon Quest Builders 2,All,2019,Sandbox,Nintendo  ,Square Enix  ,,,,,,,
7,CastleMiner Z,XBL,N/A,Sandbox,Unknown  ,DigitalDNA Games  ,,,,,,,
8,Planet Explorers,PC,N/A,Sandbox,Unknown  ,Pathea Games  ,,,,,,,
9,Windward,PC,N/A,Sandbox,Unknown  ,Tasharen Entertainment Inc.  ,,,,,,,
10,PixARK,PC,2018,Sandbox,Snail Games USA  ,Snail Games USA  ,,,,,,,
11,Blockland,PC,N/A,Sandbox,Unknown  ,Eric Hartman  ,,,,,,,
12,Avorion,PC,N/A,Sandbox,Unknown  ,Boxelware  ,,,,,,,
13,Outer Wilds,PC,2019,Sandbox,Annapurna Interactive  ,Mobius Digital  ,,,,,,,
14,Outer Wilds,XOne,2019,Sandbox,Annapurna Interactive  ,Mobius Digital  ,,,,,,,
15,PixARK,PS4,2019,Sandbox,Snail Game  ,Snail Games USA  ,,,,,,,
16,PixARK,XOne,2019,Sandbox,Snail Game  ,Snail Games USA  ,,,,,,,
17,PixARK,NS,2019,Sandbox,Snail Game  ,Snail Games USA  ,,,,,,,
18,Saints Row: The Third Remastered,PC,2020,Sandbox,THQ  ,Volition  ,,,,,,,
19,Saints Row: The Third Remastered,PS4,2020,Sandbox,THQ  ,Volition  ,,,,,,,
20,Saints Row: The Third Remastered,XOne,2020,Sandbox,THQ  ,Volition  ,,,,,,,
